协变量,匹配前SMD,匹配后SMD
性别,0.020737789903678486,-0.012186221288246455
年龄,0.13210803349774222,-0.04107644421552292
饮酒史,0.07628579171273236,-0.05390326448054841
吸烟史,-0.1394105926633055,-0.07879502053269831
是否合并脂肪肝,0.15311825676139298,0.25010008761359864
基线白蛋白,-0.30084406950397985,-0.35168476649711095
基线胆红素,0.2688162964518983,0.08180438542905813
基线ALT,0.1344938439696847,0.055777497060130236
基线AST,0.19841366529328414,0.016860897356091704
基线GGT,0.19324118624414918,0.09239512091291192
基线ALP,-0.08200642248061418,-0.0001900408309654565
