变量,变量类型,治疗组均值,治疗组SD,对照组均值,对照组SD,t检验P值,Mann-Whitney P值,推荐P值,采用检验,选择依据,基线可比
年龄,连续,48.229166666666664,10.11562539801581,48.62820512820513,9.296150543015907,0.7869923434681638,0.630159319988183,0.630159319988183,Mann-Whitney U,"存在非正态(治疗组P=0.009,对照组P=0.524)",是
基线白蛋白,连续,45.49895833333333,2.6491506003828413,46.717948717948715,4.124357284513919,0.0256046686400665,0.10499884289980703,0.10499884289980703,Mann-Whitney U,"存在非正态(治疗组P=0.000,对照组P=0.000)",是
基线胆红素,连续,16.8575991697417,8.262254418709905,16.27179487179487,5.856285277893935,0.5857316230566334,0.7369228042252443,0.5857316230566334,t检验(Welch),两组均正态分布,是
基线ALT,连续,26.840874846248465,11.325424316656887,26.21794871794872,11.008435296882466,0.714500042313293,0.7197264465792897,0.7197264465792897,Mann-Whitney U,"存在非正态(治疗组P=0.036,对照组P=0.084)",是
基线AST,连续,24.51626729704797,7.130164534916941,24.397435897435898,6.964361492795372,0.9119533578963326,0.8049547046305219,0.8049547046305219,Mann-Whitney U,"存在非正态(治疗组P=0.019,对照组P=0.004)",是
基线GGT,连续,30.785939421894216,22.193385309401133,29.012820512820515,15.620909721038034,0.53807805956589,0.8952139201198775,0.8952139201198775,Mann-Whitney U,"存在非正态(治疗组P=0.000,对照组P=0.000)",是
基线ALP,连续,74.91920356703567,21.011499075613145,74.92307692307692,19.73181834866354,0.9990035289620176,0.9577536063157377,0.9990035289620176,t检验(Welch),两组均正态分布,是
肝硬度值基线,连续,13.158064516129036,6.9007139293643265,11.543283582089554,3.2832090676652155,0.050993799711087376,0.3494402937478539,0.3494402937478539,Mann-Whitney U,"存在非正态(治疗组P=0.000,对照组P=0.046)",是
血小板基线,连续,160.09195402298852,56.7267280802933,179.8754716981132,58.31623637765036,0.051752807089568025,0.04191715248414405,0.051752807089568025,t检验(Welch),两组均正态分布,是
HBsAg基线,连续,1674.3112527472526,1935.9206515808476,2351.0926400000003,3922.420315096696,0.175649653660112,0.8392936588979316,0.8392936588979316,Mann-Whitney U,"存在非正态(治疗组P=0.000,对照组P=0.000)",是
性别,分类,1.1875,,1.1923076923076923,,,,1.0,卡方检验,期望频数均≥5(最小=14.8),是
饮酒史,分类,0.20833333333333334,,0.23076923076923078,,,,0.8636282528227873,卡方检验,期望频数均≥5(最小=17.0),是
吸烟史,分类,0.11458333333333333,,0.14102564102564102,,,,0.7698241905880236,卡方检验,期望频数均≥5(最小=9.9),是
是否合并脂肪肝,分类,1.90625,,1.8205128205128205,,,,0.1511172788786473,卡方检验,期望频数均≥5(最小=10.3),是
