变量1,变量2,N,相关系数,P值,检验方法,选择依据,相关强度,统计显著
基线ALT,基线AST,174,0.7674438532784336,4.896543987613713e-35,Spearman,存在非正态分布变量,强相关,是
基线ALT,基线GGT,174,0.5035652601930073,1.4160822703081658e-12,Spearman,存在非正态分布变量,中等相关,是
基线ALT,基线ALP,174,0.24188951051648758,0.0013015727033794033,Spearman,存在非正态分布变量,弱相关,是
基线ALT,基线白蛋白,174,0.031976702597831405,0.6753121829076765,Spearman,存在非正态分布变量,极弱/无相关,否
基线ALT,基线胆红素,174,0.12977046778543877,0.08788225306352956,Spearman,存在非正态分布变量,极弱/无相关,否
基线ALT,肝硬度值基线,160,0.2837857068276442,0.00027631860573373146,Spearman,存在非正态分布变量,弱相关,是
基线ALT,血小板基线,140,-0.1631502286670556,0.054099639191000824,Pearson,两变量均正态分布,极弱/无相关,否
基线ALT,ALT变化,171,-0.19331665693949507,0.011297956446330483,Pearson,两变量均正态分布,极弱/无相关,是
基线ALT,AST变化,171,-0.12183449568700305,0.11241604736236395,Pearson,两变量均正态分布,极弱/无相关,否
基线ALT,肝硬度变化,126,-0.1355189894244058,0.1302732262448504,Spearman,存在非正态分布变量,极弱/无相关,否
基线AST,基线GGT,174,0.441649945357622,1.0583228599529742e-09,Spearman,存在非正态分布变量,中等相关,是
基线AST,基线ALP,174,0.37486214440470134,3.4654073030759745e-07,Spearman,存在非正态分布变量,弱相关,是
基线AST,基线白蛋白,174,-0.02248905233482425,0.768337629737182,Spearman,存在非正态分布变量,极弱/无相关,否
基线AST,基线胆红素,174,0.20492682415938276,0.006677059055131327,Spearman,存在非正态分布变量,弱相关,是
基线AST,肝硬度值基线,160,0.43507509630602975,8.969746038259205e-09,Spearman,存在非正态分布变量,中等相关,是
基线AST,血小板基线,140,-0.3719344619672992,6.046904168920894e-06,Spearman,存在非正态分布变量,弱相关,是
基线AST,ALT变化,171,-0.27988021773324645,0.0002093675147812194,Spearman,存在非正态分布变量,弱相关,是
基线AST,AST变化,171,-0.38657014712542437,1.765717791095124e-07,Spearman,存在非正态分布变量,弱相关,是
基线AST,肝硬度变化,126,-0.2622297215793655,0.003014296958900135,Spearman,存在非正态分布变量,弱相关,是
基线GGT,基线ALP,174,0.28917817864196427,0.00010881656350257426,Spearman,存在非正态分布变量,弱相关,是
基线GGT,基线白蛋白,174,0.03581804037567248,0.6389141468607615,Spearman,存在非正态分布变量,极弱/无相关,否
基线GGT,基线胆红素,174,0.16594590984994792,0.028640810321872708,Spearman,存在非正态分布变量,极弱/无相关,是
基线GGT,肝硬度值基线,160,0.3224533047608157,3.204937623024822e-05,Spearman,存在非正态分布变量,弱相关,是
基线GGT,血小板基线,140,-0.28636433806838657,0.0006034607747537052,Spearman,存在非正态分布变量,弱相关,是
基线GGT,ALT变化,171,-0.05264927137169878,0.4940361983183964,Spearman,存在非正态分布变量,极弱/无相关,否
基线GGT,AST变化,171,-0.044184473907831055,0.5660832125180866,Spearman,存在非正态分布变量,极弱/无相关,否
基线GGT,肝硬度变化,126,-0.055317173163879865,0.5384116166168786,Spearman,存在非正态分布变量,极弱/无相关,否
基线ALP,基线白蛋白,174,-0.12523604827773388,0.09964873334206166,Spearman,存在非正态分布变量,极弱/无相关,否
基线ALP,基线胆红素,174,0.047770327888614274,0.5313480348530997,Pearson,两变量均正态分布,极弱/无相关,否
基线ALP,肝硬度值基线,160,0.2002043075421265,0.011139153982470252,Spearman,存在非正态分布变量,弱相关,是
基线ALP,血小板基线,140,-0.3170790683406759,0.00013504556452160931,Pearson,两变量均正态分布,弱相关,是
基线ALP,ALT变化,171,-0.07559011436219112,0.32579173866236305,Pearson,两变量均正态分布,极弱/无相关,否
基线ALP,AST变化,171,-0.033097603018178094,0.6673770642110904,Pearson,两变量均正态分布,极弱/无相关,否
基线ALP,肝硬度变化,126,-0.14649970749801489,0.10164916669711241,Spearman,存在非正态分布变量,极弱/无相关,否
基线白蛋白,基线胆红素,174,-0.017904470309718992,0.8146025156768741,Spearman,存在非正态分布变量,极弱/无相关,否
基线白蛋白,肝硬度值基线,160,-0.04877081260015093,0.5402499833432759,Spearman,存在非正态分布变量,极弱/无相关,否
基线白蛋白,血小板基线,140,0.020344477349273634,0.8114269035336618,Spearman,存在非正态分布变量,极弱/无相关,否
基线白蛋白,ALT变化,171,-0.05908181396641983,0.4427253905681243,Spearman,存在非正态分布变量,极弱/无相关,否
基线白蛋白,AST变化,171,-0.13415620375808412,0.08022716677382395,Spearman,存在非正态分布变量,极弱/无相关,否
基线白蛋白,肝硬度变化,126,0.02320555453626908,0.7964683244102055,Spearman,存在非正态分布变量,极弱/无相关,否
基线胆红素,肝硬度值基线,160,0.16239127764735728,0.04020484375233871,Spearman,存在非正态分布变量,极弱/无相关,是
基线胆红素,血小板基线,140,-0.26769230879076317,0.001386027104773085,Pearson,两变量均正态分布,弱相关,是
基线胆红素,ALT变化,171,-0.05300216755334077,0.49114185084936546,Pearson,两变量均正态分布,极弱/无相关,否
基线胆红素,AST变化,171,-0.008539877884024395,0.9117302767610878,Pearson,两变量均正态分布,极弱/无相关,否
基线胆红素,肝硬度变化,126,-0.09258109236432718,0.30250355056073475,Spearman,存在非正态分布变量,极弱/无相关,否
肝硬度值基线,血小板基线,130,-0.3814499321135895,7.545408708019223e-06,Spearman,存在非正态分布变量,弱相关,是
肝硬度值基线,ALT变化,157,-0.10173886727807008,0.20483722476643543,Spearman,存在非正态分布变量,极弱/无相关,否
肝硬度值基线,AST变化,157,-0.04715395788886879,0.5575783171547186,Spearman,存在非正态分布变量,极弱/无相关,否
肝硬度值基线,肝硬度变化,126,-0.5673134914263565,4.324704244208316e-12,Spearman,存在非正态分布变量,中等相关,是
血小板基线,ALT变化,137,0.04931518404399601,0.5671329987698078,Pearson,两变量均正态分布,极弱/无相关,否
血小板基线,AST变化,137,-0.023474487832126634,0.7854053320640165,Pearson,两变量均正态分布,极弱/无相关,否
血小板基线,肝硬度变化,103,0.19408854014030266,0.04947594658299574,Spearman,存在非正态分布变量,极弱/无相关,是
ALT变化,AST变化,171,0.7316027439777916,6.331783780484281e-30,Pearson,两变量均正态分布,强相关,是
ALT变化,肝硬度变化,125,0.0654071230975524,0.46863376699402404,Spearman,存在非正态分布变量,极弱/无相关,否
AST变化,肝硬度变化,125,0.04325881081079273,0.6319289072311953,Spearman,存在非正态分布变量,极弱/无相关,否
