指标,分层,治疗组N,治疗组变化,对照组N,对照组变化,组间差异,P值,显著,注释
ALT,基线异常,10,-8.4,9,-7.111111111111111,-1.2888888888888896,0.6232904691634631,否,消除天花板效应后的真实治疗效果
ALT,基线正常,83,-0.0963855421686747,69,1.391304347826087,-1.4876898899947617,0.5118669128806514,否,评估在正常范围内的稳定维持能力
ALT,排除双正常,17,-1.1764705882352942,16,6.6875,-7.863970588235294,0.4172284924004548,否,排除76+62例双正常患者
AST,基线异常,8,-8.375,6,7.833333333333333,-16.208333333333332,0.344988344988345,否,消除天花板效应后的真实治疗效果
AST,基线正常,85,1.8235294117647058,72,-0.027777777777777776,1.8513071895424835,0.19378306875874185,否,评估在正常范围内的稳定维持能力
AST,排除双正常,17,3.588235294117647,10,8.1,-4.511764705882353,0.7822684842713814,否,排除76+68例双正常患者
GGT,基线异常,19,-13.578947368421053,12,-4.416666666666667,-9.162280701754387,0.14953704663129005,否,消除天花板效应后的真实治疗效果
GGT,基线正常,74,6.297297297297297,66,2.3636363636363638,3.9336609336609336,0.4849137529987524,否,评估在正常范围内的稳定维持能力
GGT,排除双正常,32,6.9375,16,5.875,1.0625,0.9476688273639622,否,排除61+62例双正常患者
ALP,基线异常,14,-16.214285714285715,8,-15.375,-0.8392857142857153,0.9455078866141827,否,消除天花板效应后的真实治疗效果
ALP,基线正常,80,1.0094557195571956,70,-1.1285714285714286,2.138027148128624,0.33649038831520195,否,评估在正常范围内的稳定维持能力
ALP,排除双正常,24,-8.125,15,-1.4,-6.725,0.45266859316234964,否,排除70+63例双正常患者
白蛋白,基线异常,2,3.8500000000000014,0,,,,N/A,消除天花板效应后的真实治疗效果
白蛋白,基线正常,93,0.19677419354838707,78,0.3307692307692308,-0.13399503722084374,0.40215683876175745,否,评估在正常范围内的稳定维持能力
白蛋白,排除双正常,3,2.2333333333333343,4,6.75,-4.516666666666666,0.5820796519295022,否,排除92+74例双正常患者
胆红素,基线异常,25,-4.4079999999999995,27,1.1740740740740743,-5.5820740740740735,0.035974370193127395,是,消除天花板效应后的真实治疗效果
胆红素,基线正常,68,0.9367647058823534,51,2.4941176470588236,-1.5573529411764702,0.3404961545227516,否,评估在正常范围内的稳定维持能力
胆红素,排除双正常,52,-0.944230769230769,43,3.130232558139535,-4.074463327370304,0.03764919214863077,是,排除41+35例双正常患者
