指标,分组,总例数,双正常(可能为波动),双正常比例,基线异常→正常(复常),复常率,基线正常→异常(恶化),持续异常,全组变化均值,双正常组变化均值,注释
ALT,治疗组,93,76,81.7%,7,58.3%,5,5,-0.989247311827957,-0.9473684210526315,双正常组变化可能是正常生理波动，不代表治疗效果
ALT,对照组,78,62,79.5%,6,54.5%,5,5,0.41025641025641024,-1.2096774193548387,双正常组变化可能是正常生理波动，不代表治疗效果
AST,治疗组,93,76,81.7%,9,81.8%,6,2,0.946236559139785,0.35526315789473684,双正常组变化可能是正常生理波动，不代表治疗效果
AST,对照组,78,68,87.2%,4,50.0%,2,4,0.5769230769230769,-0.5294117647058824,双正常组变化可能是正常生理波动，不代表治疗效果
GGT,治疗组,93,61,65.6%,10,47.6%,11,11,2.236559139784946,-0.22950819672131148,双正常组变化可能是正常生理波动，不代表治疗效果
GGT,对照组,78,62,79.5%,4,33.3%,4,8,1.3205128205128205,0.14516129032258066,双正常组变化可能是正常生理波动，不代表治疗效果
ALP,治疗组,94,70,74.5%,11,55.0%,4,9,-1.5557823663343018,0.6965208223510806,双正常组变化可能是正常生理波动，不代表治疗效果
ALP,对照组,78,63,80.8%,8,72.7%,4,3,-2.58974358974359,-2.873015873015873,双正常组变化可能是正常生理波动，不代表治疗效果
白蛋白,治疗组,95,92,96.8%,1,50.0%,1,1,0.2736842105263158,0.20978260869565216,双正常组变化可能是正常生理波动，不代表治疗效果
白蛋白,对照组,78,74,94.9%,1,33.3%,1,2,0.3307692307692308,-0.016216216216216158,双正常组变化可能是正常生理波动，不代表治疗效果
胆红素,治疗组,93,41,44.1%,19,51.4%,15,18,-0.49999999999999967,0.06341463414634163,双正常组变化可能是正常生理波动，不代表治疗效果
胆红素,对照组,78,35,44.9%,4,12.9%,12,27,2.037179487179487,0.6942857142857144,双正常组变化可能是正常生理波动，不代表治疗效果
