指标,分层,N,治疗组N,对照组N,治疗组变化,对照组变化,组间差异,P值,显著
ALT,全人群,171,93,78,-0.989247311827957,0.41025641025641024,-1.3995037220843671,0.4291605161030466,否
ALT,基线异常偏高,19,10,9,-8.4,-7.111111111111111,-1.2888888888888896,0.8312864049638771,否
ALT,基线正常,152,83,69,-0.0963855421686747,1.391304347826087,-1.4876898899947617,0.4108689876906737,否
ALT,复常率,19,10,9,60.0,55.55555555555556,4.444444444444443,,
ALT,维持率,152,83,69,92.7710843373494,91.30434782608695,1.4667365112624395,,
AST,全人群,171,93,78,0.946236559139785,0.5769230769230769,0.3693134822167081,0.7939864750493947,否
AST,基线异常偏高,14,8,6,-8.375,7.833333333333333,-16.208333333333332,0.2663953592978582,否
AST,基线正常,157,85,72,1.8235294117647058,-0.027777777777777776,1.8513071895424835,0.08830399179704178,否
AST,复常率,14,8,6,75.0,66.66666666666666,8.333333333333343,,
AST,维持率,157,85,72,94.11764705882352,97.22222222222221,-3.1045751633986924,,
GGT,全人群,171,93,78,2.236559139784946,1.3205128205128205,0.9160463192721255,0.7230300908684751,否
GGT,基线异常偏高,31,19,12,-13.578947368421053,-4.416666666666667,-9.162280701754387,0.1724758368127119,否
GGT,基线正常,140,74,66,6.297297297297297,2.3636363636363638,3.9336609336609336,0.13048594905668817,否
GGT,复常率,31,19,12,52.63157894736842,41.66666666666667,10.964912280701746,,
GGT,维持率,140,74,66,86.48648648648648,95.45454545454545,-8.968058968058969,,
肝硬度值,全人群,126,77,49,-3.983116883116883,-2.7795918367346935,-1.2035250463821896,0.042174039825499485,是
肝硬度值,基线异常偏高,97,58,39,-4.83448275862069,-3.3769230769230774,-1.4575596816976129,0.038148446664926935,是
肝硬度值,基线正常,29,19,10,-1.3842105263157898,-0.45000000000000007,-0.9342105263157897,0.030703378779805647,是
肝硬度值,复常率,97,58,39,58.620689655172406,43.58974358974359,15.030946065428815,,
肝硬度值,维持率,29,19,10,100.0,100.0,0.0,,
