变量1,变量2,N,相关系数,P值,检验方法,选择依据,相关强度,统计显著
基线ALT,基线AST,216,0.6754148752186064,5.56506090230559e-40,Spearman,存在非正态分布变量,中等相关,是
基线ALT,基线GGT,216,0.33679176283268886,4.0203558087098585e-09,Spearman,存在非正态分布变量,弱相关,是
基线ALT,基线ALP,216,0.23323021568795085,6.070482734084188e-05,Spearman,存在非正态分布变量,弱相关,是
基线ALT,基线白蛋白,216,-0.09456414026793292,0.10805056881057579,Spearman,存在非正态分布变量,极弱/无相关,否
基线ALT,基线胆红素,216,0.12774349800140058,0.029636411443358254,Spearman,存在非正态分布变量,极弱/无相关,是
基线ALT,肝硬度值基线,204,0.2803117946950651,2.6502257230146895e-06,Spearman,存在非正态分布变量,弱相关,是
基线ALT,血小板基线,183,-0.1125592837053756,0.07992051817480858,Spearman,存在非正态分布变量,极弱/无相关,否
基线ALT,ALT变化,209,-0.36312203319171554,3.487326771145879e-10,Spearman,存在非正态分布变量,弱相关,是
基线ALT,AST变化,209,-0.24215494788646155,4.089171494576604e-05,Spearman,存在非正态分布变量,弱相关,是
基线ALT,肝硬度变化,162,-0.09568337708281718,0.1611213567810595,Spearman,存在非正态分布变量,极弱/无相关,否
基线AST,基线GGT,216,0.3816023220540203,1.7362099725187943e-11,Spearman,存在非正态分布变量,弱相关,是
基线AST,基线ALP,216,0.37539202455721654,3.8867391599099954e-11,Pearson,两变量均正态分布,弱相关,是
基线AST,基线白蛋白,216,-0.19590692585513111,0.0007955807656762871,Pearson,两变量均正态分布,极弱/无相关,是
基线AST,基线胆红素,216,0.2916363032640123,4.2981738774368436e-07,Pearson,两变量均正态分布,弱相关,是
基线AST,肝硬度值基线,204,0.3418127484039238,7.18325806856052e-09,Spearman,存在非正态分布变量,弱相关,是
基线AST,血小板基线,183,-0.2929048609971313,3.4063454006585315e-06,Pearson,两变量均正态分布,弱相关,是
