指标,分层,治疗组N,治疗组变化,对照组N,对照组变化,组间差异,P值,显著,注释
ALT,基线异常,13,-0.5538461538461541,20,-6.15,5.596153846153847,0.7949993890738665,否,消除天花板效应后的真实治疗效果
ALT,基线正常,127,0.3700787401574803,121,0.4628099173553719,-0.09273117719789159,0.531903332188834,否,评估在正常范围内的稳定维持能力
ALT,排除双正常,22,7.490909090909091,32,2.78125,4.709659090909091,0.8185880684347078,否,排除118+109例双正常患者
AST,基线异常,10,-5.321,12,3.0833333333333335,-8.404333333333334,0.0779249342444285,否,消除天花板效应后的真实治疗效果
AST,基线正常,130,1.0769230769230769,129,-0.23255813953488372,1.3094812164579606,0.5134652978431455,否,评估在正常范围内的稳定维持能力
AST,排除双正常,24,6.407916666666666,18,5.055555555555555,1.3523611111111107,1.0,否,排除116+123例双正常患者
GGT,基线异常,27,-5.62962962962963,30,-12.433333333333334,6.803703703703704,0.65325687479834,否,消除天花板效应后的真实治疗效果
GGT,基线正常,113,4.95575221238938,111,3.4684684684684686,1.4872837439209117,0.06191144900193073,否,评估在正常范围内的稳定维持能力
GGT,排除双正常,45,8.644444444444444,42,3.738095238095238,4.906349206349206,0.8649275721439794,否,排除95+99例双正常患者
ALP,基线异常,21,-10.095238095238095,15,-29.466666666666665,19.37142857142857,0.019857182343124457,是,消除天花板效应后的真实治疗效果
ALP,基线正常,121,-0.14250861516879637,126,1.7380952380952381,-1.8806038532640346,0.4011555631736795,否,评估在正常范围内的稳定维持能力
ALP,排除双正常,32,-6.59375,28,-1.1428571428571428,-5.450892857142858,0.9172916609473198,否,排除110+113例双正常患者
白蛋白,基线异常,0,,4,11.0,,,N/A,消除天花板效应后的真实治疗效果
白蛋白,基线正常,143,-0.07748251748251753,137,1.2175182481751825,-1.2950007656577,0.35110957786668084,否,评估在正常范围内的稳定维持能力
白蛋白,排除双正常,3,-3.7333333333333343,10,20.0,-23.733333333333334,0.008735594399029718,是,排除140+131例双正常患者
胆红素,基线异常,44,0.09704545454545449,45,-2.4733333333333336,2.5703787878787883,0.15674955220220638,否,消除天花板效应后的真实治疗效果
胆红素,基线正常,96,1.0781250000000002,96,3.8614583333333337,-2.783333333333333,0.03380469333452911,是,评估在正常范围内的稳定维持能力
胆红素,排除双正常,78,1.2637179487179488,85,2.1964705882352944,-0.9327526395173455,0.9893962964654336,否,排除62+56例双正常患者
