指标,分层,N,治疗组N,对照组N,治疗组变化,对照组变化,组间差异,P值,显著
ALT,全人群,281,140,141,0.28428571428571425,-0.475177304964539,0.7594630192502533,0.5586632373026991,否
ALT,基线异常偏高,33,13,20,-0.5538461538461541,-6.15,5.596153846153847,0.3939174700751923,否
ALT,基线正常,248,127,121,0.3700787401574803,0.4628099173553719,-0.09273117719789159,0.9415508280120085,否
ALT,复常率,33,13,20,46.15384615384615,55.00000000000001,-8.846153846153854,,
ALT,维持率,248,127,121,93.7007874015748,90.9090909090909,2.7916964924838936,,
AST,全人群,281,140,141,0.6199285714285714,0.04964539007092199,0.5702831813576494,0.5259395463830706,否
AST,基线异常偏高,22,10,12,-5.321,3.0833333333333335,-8.404333333333334,0.07435366809870457,否
AST,基线正常,259,130,129,1.0769230769230769,-0.23255813953488372,1.3094812164579606,0.14329437870491715,否
AST,复常率,22,10,12,60.0,50.0,10.0,,
AST,维持率,259,130,129,93.84615384615384,96.12403100775194,-2.2778771615980986,,
GGT,全人群,281,140,141,2.914285714285714,0.0851063829787234,2.8291793313069906,0.2795189671070069,否
GGT,基线异常偏高,57,27,30,-5.62962962962963,-12.433333333333334,6.803703703703704,0.45651133531194565,否
GGT,基线正常,224,113,111,4.95575221238938,3.4684684684684686,1.4872837439209117,0.5100798330321658,否
GGT,复常率,57,27,30,48.148148148148145,70.0,-21.851851851851855,,
GGT,维持率,224,113,111,86.72566371681415,92.7927927927928,-6.067129075978642,,
肝硬度值,全人群,216,120,96,-3.748333333333333,-3.5833333333333335,-0.1649999999999996,0.8021024064043705,否
肝硬度值,基线异常偏高,167,90,77,-4.550000000000001,-4.227272727272727,-0.3227272727272741,0.6898246596826056,否
肝硬度值,基线正常,49,30,19,-1.3433333333333333,-0.9736842105263158,-0.36964912280701745,0.1961748982966151,否
肝硬度值,复常率,167,90,77,53.333333333333336,29.87012987012987,23.463203463203467,,
肝硬度值,维持率,49,30,19,100.0,100.0,0.0,,
