变量1,变量2,N,相关系数,P值,检验方法,选择依据,相关强度,统计显著
基线ALT,基线AST,272,0.7104751152168052,4.2767441883662055e-43,Spearman,存在非正态分布变量,强相关,是
基线ALT,基线GGT,272,0.45493221044921534,2.6704469800001333e-15,Spearman,存在非正态分布变量,中等相关,是
基线ALT,基线ALP,272,0.2135579721212398,0.0003898330664585283,Spearman,存在非正态分布变量,弱相关,是
基线ALT,基线白蛋白,272,-0.011571529769728006,0.8493326197316109,Spearman,存在非正态分布变量,极弱/无相关,否
基线ALT,基线胆红素,272,0.13804447676061823,0.02277932699744433,Spearman,存在非正态分布变量,极弱/无相关,是
基线ALT,肝硬度值基线,252,0.26858733592257594,1.544973201543299e-05,Spearman,存在非正态分布变量,弱相关,是
基线ALT,血小板基线,219,-0.13782602711299005,0.0415798023690961,Spearman,存在非正态分布变量,极弱/无相关,是
基线ALT,ALT变化,265,-0.32409388065485806,6.764913866114893e-08,Spearman,存在非正态分布变量,弱相关,是
基线ALT,AST变化,265,-0.24414467389253244,5.9057079972600584e-05,Spearman,存在非正态分布变量,弱相关,是
基线ALT,肝硬度变化,196,-0.13315060737977322,0.06281796299765202,Spearman,存在非正态分布变量,极弱/无相关,否
基线AST,基线GGT,272,0.41697472424725956,7.246761178617943e-13,Spearman,存在非正态分布变量,中等相关,是
基线AST,基线ALP,272,0.21425756601985882,0.0003725974347406648,Pearson,两变量均正态分布,弱相关,是
基线AST,基线白蛋白,272,-0.12563994651831417,0.038379657945802184,Pearson,两变量均正态分布,极弱/无相关,是
基线AST,基线胆红素,272,0.14536895983048456,0.016430798618680544,Pearson,两变量均正态分布,极弱/无相关,是
基线AST,肝硬度值基线,252,0.373206931233276,9.506888562295956e-10,Spearman,存在非正态分布变量,弱相关,是
基线AST,血小板基线,219,-0.37589646199750415,9.305153523792448e-09,Pearson,两变量均正态分布,弱相关,是
基线AST,ALT变化,265,-0.23933163335408753,8.321161538967161e-05,Spearman,存在非正态分布变量,弱相关,是
基线AST,AST变化,265,-0.3724735916563122,3.812387687621903e-10,Spearman,存在非正态分布变量,弱相关,是
基线AST,肝硬度变化,196,-0.17111675279895425,0.016483729390068702,Spearman,存在非正态分布变量,极弱/无相关,是
基线GGT,基线ALP,272,0.28498967780786416,1.7706983310520015e-06,Spearman,存在非正态分布变量,弱相关,是
基线GGT,基线白蛋白,272,-0.08848474968236715,0.145540988548515,Spearman,存在非正态分布变量,极弱/无相关,否
基线GGT,基线胆红素,272,0.21489244196607912,0.00035757201318416124,Spearman,存在非正态分布变量,弱相关,是
