指标,分层,治疗组N,治疗组变化,对照组N,对照组变化,组间差异,P值,显著,注释
ALT,基线异常,13,-0.5538461538461541,10,-7.0,6.446153846153846,0.6635754416768889,否,消除天花板效应后的真实治疗效果
ALT,基线正常,131,0.4732824427480916,111,2.09009009009009,-1.6168076473419983,0.09208513880727394,否,评估在正常范围内的稳定维持能力
ALT,排除双正常,23,8.382608695652175,22,9.818181818181818,-1.435573122529643,0.7162253767299973,否,排除121+99例双正常患者
AST,基线异常,11,-6.0190909090909095,7,7.571428571428571,-13.59051948051948,0.2854449472096531,否,消除天花板效应后的真实治疗效果
AST,基线正常,133,1.2706766917293233,114,0.8771929824561403,0.393483709273183,0.6897655241405987,否,评估在正常范围内的稳定维持能力
AST,排除双正常,26,6.145769230769231,16,8.8125,-2.666730769230769,0.866197457977029,否,排除118+105例双正常患者
GGT,基线异常,28,-6.285714285714286,16,-10.0625,3.7767857142857144,0.533621465992405,否,消除天花板效应后的真实治疗效果
GGT,基线正常,116,5.224137931034483,105,2.723809523809524,2.500328407224959,0.36697963572398606,否,评估在正常范围内的稳定维持能力
GGT,排除双正常,47,8.72340425531915,23,4.608695652173913,4.114708603145236,0.9302391039350276,否,排除97+98例双正常患者
ALP,基线异常,22,-11.636363636363637,13,-55.30769230769231,43.671328671328666,0.21234693463491006,否,消除天花板效应后的真实治疗效果
ALP,基线正常,124,-0.02615760028568032,108,0.32407407407407407,-0.3502316743597544,0.7166384893605577,否,评估在正常范围内的稳定维持能力
ALP,排除双正常,33,-7.7272727272727275,23,-21.956521739130434,14.229249011857707,0.8091012714983555,否,排除113+98例双正常患者
白蛋白,基线异常,2,3.8500000000000014,1,11.0,,,N/A,消除天花板效应后的真实治疗效果
白蛋白,基线正常,145,-0.07641379310344831,120,-0.000833333333333286,-0.07558045977011503,0.38941911918111216,否,评估在正常范围内的稳定维持能力
白蛋白,排除双正常,5,-0.7,5,7.6,-8.299999999999999,0.10599754842494576,否,排除142+116例双正常患者
胆红素,基线异常,48,-2.627708333333333,34,-0.37058823529411766,-2.2571200980392154,0.6379006991355711,否,消除天花板效应后的真实治疗效果
胆红素,基线正常,96,1.0781250000000002,87,2.7402298850574707,-1.6621048850574704,0.2624619075074027,否,评估在正常范围内的稳定维持能力
胆红素,排除双正常,82,-0.38817073170731686,62,2.9419354838709673,-3.330106215578284,0.16576807859292064,否,排除62+59例双正常患者
