指标,分组,总例数,双正常(可能为波动),双正常比例,基线异常→正常(复常),复常率,基线正常→异常(恶化),持续异常,全组变化均值,双正常组变化均值,注释
ALT,治疗组,144,121,84.0%,7,46.7%,8,8,0.38055555555555554,-1.140495867768595,双正常组变化可能是正常生理波动，不代表治疗效果
ALT,对照组,121,99,81.8%,7,58.3%,10,5,1.3388429752066116,-0.5454545454545454,双正常组变化可能是正常生理波动，不代表治疗效果
AST,治疗组,144,118,81.9%,11,73.3%,11,4,0.7138194444444443,-0.4830508474576271,双正常组变化可能是正常生理波动，不代表治疗效果
AST,对照组,121,105,86.8%,4,40.0%,6,6,1.2644628099173554,0.11428571428571428,双正常组变化可能是正常生理波动，不代表治疗效果
GGT,治疗组,144,97,67.4%,14,46.7%,17,16,2.986111111111111,0.20618556701030927,双正常组变化可能是正常生理波动，不代表治疗效果
GGT,对照组,121,98,81.0%,7,43.8%,7,9,1.0330578512396693,0.19387755102040816,双正常组变化可能是正常生理波动，不代表治疗效果
ALP,治疗组,146,113,77.4%,15,51.7%,4,14,-1.7756407016124958,-0.03755347287986159,双正常组变化可能是正常生理波动，不代表治疗效果
ALP,对照组,121,98,81.0%,13,76.5%,6,4,-5.652892561983471,-1.8265306122448979,双正常组变化可能是正常生理波动，不代表治疗效果
白蛋白,治疗组,147,142,96.6%,1,50.0%,3,1,-0.02299319727891158,0.0008450704225351932,双正常组变化可能是正常生理波动，不代表治疗效果
白蛋白,对照组,121,116,95.9%,2,50.0%,1,2,0.09008264462809921,-0.23362068965517235,双正常组变化可能是正常生理波动，不代表治疗效果
胆红素,治疗组,144,62,43.1%,26,41.3%,19,37,-0.15715277777777764,0.14838709677419354,双正常组变化可能是正常生理波动，不代表治疗效果
胆红素,对照组,121,59,48.8%,9,22.5%,22,31,1.8661157024793384,0.7355932203389831,双正常组变化可能是正常生理波动，不代表治疗效果
