指标,分层,N,治疗组N,对照组N,治疗组变化,对照组变化,组间差异,P值,显著
ALT,全人群,265,144,121,0.38055555555555554,1.3388429752066116,-0.958287419651056,0.5183994420657494,否
ALT,基线异常偏高,23,13,10,-0.5538461538461541,-7.0,6.446153846153846,0.3680618898394481,否
ALT,基线正常,242,131,111,0.4732824427480916,2.09009009009009,-1.6168076473419983,0.270767922648209,否
ALT,复常率,23,13,10,46.15384615384615,60.0,-13.846153846153847,,
ALT,维持率,242,131,111,93.12977099236642,90.09009009009009,3.0396809022763307,,
AST,全人群,265,144,121,0.7138194444444443,1.2644628099173554,-0.550643365472911,0.6049450793972923,否
AST,基线异常偏高,18,11,7,-6.0190909090909095,7.571428571428571,-13.59051948051948,0.2685670480253473,否
AST,基线正常,247,133,114,1.2706766917293233,0.8771929824561403,0.393483709273183,0.6585725027657603,否
AST,复常率,18,11,7,63.63636363636363,57.14285714285714,6.493506493506494,,
AST,维持率,247,133,114,93.98496240601504,94.73684210526315,-0.7518796992481072,,
GGT,全人群,265,144,121,2.986111111111111,1.0330578512396693,1.9530532598714418,0.4010897797902304,否
GGT,基线异常偏高,44,28,16,-6.285714285714286,-10.0625,3.7767857142857144,0.6743997622374127,否
GGT,基线正常,221,116,105,5.224137931034483,2.723809523809524,2.500328407224959,0.20944707118954395,否
GGT,复常率,44,28,16,50.0,56.25,-6.25,,
GGT,维持率,221,116,105,86.20689655172413,94.28571428571428,-8.07881773399015,,
肝硬度值,全人群,196,122,74,-3.764754098360656,-3.0608108108108105,-0.7039432875498455,0.21938136119318138,否
肝硬度值,基线异常偏高,150,92,58,-4.554347826086956,-3.7120689655172416,-0.8422788605697145,0.22890605543788478,否
肝硬度值,基线正常,46,30,16,-1.3433333333333333,-0.7000000000000002,-0.6433333333333331,0.039110024670702515,是
肝硬度值,复常率,150,92,58,52.17391304347826,44.827586206896555,7.346326836581703,,
肝硬度值,维持率,46,30,16,100.0,100.0,0.0,,
