协变量,匹配前SMD,匹配后SMD
性别,0.020737789903678486,0.18798428227903005
年龄,0.13210803349774222,-0.569548913537969
饮酒史,0.07628579171273236,-0.09033660983210136
吸烟史,-0.1394105926633055,-0.20573779994945585
是否合并脂肪肝,0.15311825676139298,0.0
基线白蛋白,-0.30084406950397985,0.15897276632078805
基线胆红素,0.2688162964518983,-0.21353534733221868
基线ALT,0.1344938439696847,-0.695507172769049
基线AST,0.19841366529328414,-0.9818220516902203
基线GGT,0.19324118624414918,-0.7945493976547046
基线ALP,-0.08200642248061418,-0.13652653124847658
