协变量,匹配前SMD,匹配后SMD
性别,0.024393631026019415,0.1425160238316269
年龄,0.12589344274343484,-0.02924310297872764
饮酒史,0.06408362300225011,0.0
吸烟史,-0.15894723781188203,-0.13382992102364116
是否合并脂肪肝,0.1499511326746563,-0.10807741114950328
基线白蛋白,-0.3038491134270185,-0.11070766708686794
基线胆红素,0.2689869555020837,-0.23295949961374174
基线ALT,0.1346602668058474,0.008562851745559298
基线AST,0.19866921319370273,0.05977903807334075
基线GGT,0.19343000051046874,0.02187358120198082
基线ALP,-0.08221379761267789,0.08709382352116404
